season,round,game,home,team,points,points_against,opponent,avgPD,avgPD_opp,wins,wins_opp,points_diff,win,draw
11_12,7,40,1,harlequins,19,13,exeter,12,-1.5,6,3,6,1,0
11_12,7,41,1,northampton,44,15,newcastle,0.166666667,-10.5,2,1,29,1,0
11_12,7,42,1,gloucester,17,19,saracens,0.166666667,9.666666667,3,5,-2,0,0
11_12,8,43,0,worcester,16,16,newcastle,-5.857142857,-13.14285714,2,1,0,0,1
11_12,8,44,0,harlequins,26,13,bath,11.14285714,-0.428571429,7,4,13,1,0
11_12,8,45,0,gloucester,24,19,exeter,-0.142857143,-2.142857143,3,3,5,1,0
11_12,8,46,0,irish,24,24,leicester,3.714285714,-3,3,2,0,0,1
11_12,8,47,0,northampton,24,13,wasps,4.285714286,-1.428571429,3,4,11,1,0
11_12,8,48,0,sale,10,23,saracens,-1.571428571,8.571428571,4,6,-13,0,0
11_12,8,43,1,newcastle,16,16,worcester,-13.14285714,-5.857142857,1,2,0,0,1
11_12,8,44,1,bath,13,26,harlequins,-0.428571429,11.14285714,4,7,-13,0,0
11_12,8,45,1,exeter,19,24,gloucester,-2.142857143,-0.142857143,3,3,-5,0,0
11_12,8,46,1,leicester,24,24,irish,-3,3.714285714,2,3,0,0,1
11_12,8,47,1,wasps,13,24,northampton,-1.428571429,4.285714286,4,3,-11,0,0
11_12,8,48,1,saracens,23,10,sale,8.571428571,-1.571428571,6,4,13,1,0
11_12,9,49,0,exeter,30,23,sale,-2.5,-3,3,4,7,1,0
11_12,9,50,0,bath,7,16,worcester,-2,-5.125,4,2,-9,0,0
11_12,9,51,0,leicester,19,14,gloucester,-2.625,0.5,2,4,5,1,0
11_12,9,52,0,wasps,17,21,irish,-2.625,3.25,4,3,-4,0,0
11_12,9,53,0,saracens,8,30,northampton,9.125,5.125,7,4,-22,0,0
11_12,9,54,0,newcastle,8,39,harlequins,-11.5,11.375,1,8,-31,0,0
11_12,9,49,1,sale,23,30,exeter,-3,-2.5,4,3,-7,0,0
11_12,9,50,1,worcester,16,7,bath,-5.125,-2,2,4,9,1,0
11_12,9,51,1,gloucester,14,19,leicester,0.5,-2.625,4,2,-5,0,0
11_12,9,52,1,irish,21,17,wasps,3.25,-2.625,3,4,4,1,0
11_12,9,53,1,northampton,30,8,saracens,5.125,9.125,4,7,22,1,0
11_12,9,54,1,harlequins,39,8,newcastle,11.375,-11.5,8,1,31,1,0
11_12,10,55,0,gloucester,25,26,newcastle,-0.111111111,-13.66666667,4,1,-1,0,0
11_12,10,56,0,sale,16,13,bath,-3.444444444,-2.777777778,4,4,3,1,0
11_12,10,57,0,northampton,25,30,leicester,7,-1.777777778,5,3,-5,0,0
11_12,10,58,0,worcester,9,15,exeter,-3.555555556,-1.444444444,3,4,-6,0,0
11_12,10,59,0,irish,11,15,saracens,3.333333333,5.666666667,4,7,-4,0,0
11_12,10,60,0,harlequins,22,16,wasps,13.55555556,-2.777777778,9,4,6,1,0
11_12,10,55,1,newcastle,26,25,gloucester,-13.66666667,-0.111111111,1,4,1,1,0
11_12,10,56,1,bath,13,16,sale,-2.777777778,-3.444444444,4,4,-3,0,0
11_12,10,57,1,leicester,30,25,northampton,-1.777777778,7,3,5,5,1,0
11_12,10,58,1,exeter,15,9,worcester,-1.444444444,-3.555555556,4,3,6,1,0
11_12,10,59,1,saracens,15,11,irish,5.666666667,3.333333333,7,4,4,1,0
11_12,10,60,1,wasps,16,22,harlequins,-2.777777778,13.55555556,4,9,-6,0,0
11_12,11,61,0,bath,13,22,northampton,-2.8,5.8,4,5,-9,0,0
11_12,11,62,0,newcastle,19,27,sale,-12.2,-2.8,2,5,-8,0,0
11_12,11,63,0,wasps,10,39,gloucester,-3.1,-0.2,4,4,-29,0,0
11_12,11,64,0,exeter,22,29,irish,-0.7,2.6,5,4,-7,0,0
11_12,11,65,0,leicester,32,13,worcester,-1.1,-3.8,4,3,19,1,0
11_12,11,66,0,saracens,19,11,harlequins,5.5,12.8,8,10,8,1,0
11_12,11,61,1,northampton,22,13,bath,5.8,-2.8,5,4,9,1,0
11_12,11,62,1,sale,27,19,newcastle,-2.8,-12.2,5,2,8,1,0
11_12,11,63,1,gloucester,39,10,wasps,-0.2,-3.1,4,4,29,1,0
11_12,11,64,1,irish,29,22,exeter,2.6,-0.7,4,5,7,1,0
11_12,11,65,1,worcester,13,32,leicester,-3.8,-1.1,3,4,-19,0,0
11_12,11,66,1,harlequins,11,19,saracens,12.8,5.5,10,8,-8,0,0
11_12,12,67,0,northampton,32,14,newcastle,6.090909091,-11.81818182,6,2,18,1,0
11_12,12,68,0,harlequins,11,9,exeter,10.90909091,-1.272727273,10,5,2,1,0
