round,game,team,points,points_against,opponent,points_diff,home,avgPD,wins,win,draw
20,117,irish,34,20,sale,14,0,3.421052632,,1,0
21,122,irish,20,26,northampton,-6,1,3.95,,0,0
22,131,irish,23,32,leicester,-9,0,3.476190476,,0,0
1,5,leicester,19,27,northampton,-8,0,0,,0,0
2,11,leicester,37,27,exeter,10,1,-8,,1,0
3,16,leicester,30,37,wasps,-7,0,1,,0,0
4,22,leicester,48,6,yorkshire,42,1,-1.666666667,,1,0
5,30,leicester,20,26,saracens,-6,0,9.25,,0,0
6,33,leicester,21,15,bath,6,1,6.2,,1,0
7,39,leicester,12,19,gloucester,-7,0,6.166666667,,0,0
8,43,leicester,18,13,harlequins,5,1,4.285714286,,1,0
9,51,leicester,44,19,newcastle,25,1,4.375,,1,0
10,55,leicester,23,14,irish,9,0,6.666666667,,1,0
11,59,leicester,54,21,sale,33,1,6.9,,1,0
12,66,leicester,22,15,exeter,7,0,9.272727273,,1,0
13,71,leicester,27,16,northampton,11,1,9.083333333,,1,0
14,77,leicester,15,9,yorkshire,6,0,9.230769231,,1,0
15,83,leicester,21,12,wasps,9,1,9,,1,0
16,85,leicester,18,16,sale,2,0,9,,1,0
17,93,leicester,14,15,saracens,-1,1,8.5625,,0,0
18,101,leicester,37,6,bath,31,0,8,,1,0
19,106,leicester,17,13,harlequins,4,0,9.277777778,,1,0
20,116,leicester,41,41,gloucester,0,1,9,,0,1
21,121,leicester,24,13,newcastle,11,0,8.55,,1,0
22,131,leicester,32,23,irish,9,1,8.666666667,,1,0
1,1,newcastle,18,35,sale,-17,0,0,,0,0
2,7,newcastle,29,17,wasps,12,1,-17,,1,0
3,15,newcastle,17,22,exeter,-5,0,-2.5,,0,0
4,23,newcastle,12,46,irish,-34,1,-3.333333333,,0,0
5,27,newcastle,12,23,harlequins,-11,0,-11,,0,0
6,32,newcastle,13,15,saracens,-2,1,-11,,0,0
7,37,newcastle,13,34,northampton,-21,0,-9.5,,0,0
8,47,newcastle,12,6,gloucester,6,1,-11.14285714,,1,0
9,51,newcastle,19,44,leicester,-25,0,-9,,0,0
10,65,newcastle,16,33,wasps,-17,0,-10.77777778,,0,0
11,67,newcastle,19,19,sale,0,1,-11.4,,0,1
12,74,newcastle,14,23,irish,-9,0,-10.36363636,,0,0
13,80,newcastle,13,23,exeter,-10,1,-10.25,,0,0
14,90,newcastle,22,5,yorkshire,17,0,-10.23076923,,1,0
15,91,newcastle,33,18,harlequins,15,1,-8.285714286,,1,0
16,103,newcastle,9,24,saracens,-15,0,-6.733333333,,0,0
17,105,newcastle,9,34,gloucester,-25,0,-7.25,,0,0
18,112,newcastle,29,30,yorkshire,-1,1,-8.294117647,,0,0
19,113,newcastle,15,22,northampton,-7,1,-7.888888889,,0,0
20,121,newcastle,13,24,leicester,-11,1,-7.842105263,,0,0
21,126,newcastle,11,14,bath,-3,1,-8,,0,0
22,127,newcastle,12,42,bath,-30,0,-7.761904762,,0,0
1,5,northampton,27,19,leicester,8,1,0,,1,0
2,8,northampton,20,16,harlequins,4,0,8,,1,0
3,13,northampton,31,10,bath,21,1,6,,1,0
4,24,northampton,17,24,saracens,-7,0,11,,0,0
5,29,northampton,27,21,exeter,6,1,6.5,,1,0
6,36,northampton,37,10,wasps,27,0,6.4,,1,0
7,37,northampton,34,13,newcastle,21,1,9.833333333,,1,0
8,44,northampton,19,10,sale,9,0,11.42857143,,1,0
9,49,northampton,35,23,irish,12,1,11.125,,1,0
10,62,northampton,13,16,harlequins,-3,1,11.22222222,,0,0
11,71,northampton,16,27,leicester,-11,0,9.8,,0,0
12,75,northampton,15,29,saracens,-14,1,7.909090909,,0,0
13,82,northampton,8,38,bath,-30,0,6.083333333,,0,0
14,87,northampton,16,18,gloucester,-2,1,3.307692308,,0,0
15,94,northampton,9,30,exeter,-21,0,2.928571429,,0,0
16,97,northampton,23,13,yorkshire,10,0,1.333333333,,1,0
17,102,northampton,39,3,wasps,36,1,1.875,,1,0
18,104,northampton,53,24,sale,29,1,3.882352941,,1,0
19,113,northampton,22,15,newcastle,7,0,5.277777778,,1,0
20,119,northampton,15,27,gloucester,-12,0,5.368421053,,0,0
21,122,northampton,26,20,irish,6,0,4.5,,1,0
22,132,northampton,31,24,yorkshire,7,1,4.571428571,,1,0
1,1,sale,35,18,newcastle,17,1,0,,1,0
2,12,sale,13,28,saracens,-15,0,17,,0,0
3,14,sale,21,17,harlequins,4,1,1,,1,0
4,19,sale,16,31,bath,-15,0,2,,0,0
5,25,sale,24,25,wasps,-1,1,-2.25,,0,0
6,31,sale,6,3,yorkshire,3,0,-2,,1,0
7,41,sale,26,39,irish,-13,0,-1.166666667,,0,0
8,44,sale,10,19,northampton,-9,1,-2.857142857,,0,0
9,50,sale,19,24,exeter,-5,0,-3.625,,0,0
10,59,sale,21,54,leicester,-33,0,-3.777777778,,0,0
11,64,sale,28,22,saracens,6,1,-6.7,,1,0
12,67,sale,19,19,newcastle,0,0,-5.545454545,,0,1
13,73,sale,7,19,bath,-12,1,-5.083333333,,0,0
14,81,sale,9,21,harlequins,-12,0,-5.615384615,,0,0
15,85,sale,16,18,leicester,-2,1,-6.071428571,,0,0
16,95,sale,26,33,wasps,-7,0,-5.8,,0,0
17,98,sale,15,12,yorkshire,3,1,-5.875,,1,0
18,104,sale,24,53,northampton,-29,0,-5.352941176,,0,0
19,110,sale,36,31,gloucester,5,1,-6.666666667,,1,0
20,117,sale,20,34,irish,-14,1,-6.052631579,,0,0
21,120,sale,24,30,exeter,-6,1,-6.45,,0,0
22,129,sale,17,68,gloucester,-51,0,-6.428571429,,0,0
1,2,saracens,16,33,irish,-17,0,0,,0,0
2,12,saracens,28,13,sale,15,1,-17,,1,0
