,team,points,points_against,opponent,points_diff,win,wasps_home,exeter_home,gloucester_home,worcester_home,saracens_home,welsh_home,harlequins_home,bath_home,leicester_home,irish_home,sale_home,northampton_home,wasps,exeter,gloucester,worcester,saracens,welsh,harlequins,bath,leicester,irish,sale,northampton,game,negatives,wasps_points,exeter_points,gloucester_points,worcester_points,saracens_points,welsh_points,harlequins_points,bath_points,leicester_points,irish_points,sale_points,northampton_points,round
101,saracens,35.0,14.0,welsh,21.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,102,-1,0.0,0.0,0.0,0.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18
102,sale,14.0,13.0,bath,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,103,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,14.0,0.0,18
103,gloucester,15.0,14.0,welsh,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,104,-1,0.0,0.0,15.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18
104,irish,26.0,6.0,worcester,20.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,105,-1,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,18
105,wasps,24.0,26.0,northampton,-2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,106,-1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,18
106,exeter,9.0,12.0,leicester,-3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,107,-1,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,18
107,saracens,27.0,12.0,harlequins,15.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,108,-1,0.0,0.0,0.0,0.0,27.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,19
108,gloucester,17.0,15.0,harlequins,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,109,-1,0.0,0.0,17.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,19
109,bath,40.0,25.0,welsh,15.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,110,-1,0.0,0.0,0.0,0.0,0.0,25.0,0.0,40.0,0.0,0.0,0.0,0.0,19
110,northampton,8.0,36.0,leicester,-28.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,111,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,8.0,19
111,wasps,13.0,22.0,saracens,-9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,112,-1,13.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
112,worcester,18.0,24.0,exeter,-6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,113,-1,0.0,24.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
113,irish,33.0,33.0,sale,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,114,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,20
114,sale,32.0,9.0,gloucester,23.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,115,-1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,20
115,harlequins,23.0,9.0,bath,14.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,116,-1,0.0,0.0,0.0,0.0,0.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0,20
116,exeter,27.0,6.0,irish,21.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,117,-1,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,20
117,welsh,14.0,31.0,northampton,-17.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,118,-1,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,31.0,20
118,saracens,47.0,17.0,worcester,30.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,119,-1,0.0,0.0,0.0,17.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
119,leicester,35.0,16.0,wasps,19.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,120,-1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,21
120,bath,27.0,26.0,leicester,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,121,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,0.0,0.0,0.0,21
121,gloucester,28.0,23.0,saracens,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,122,-1,0.0,0.0,28.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
122,irish,47.0,28.0,welsh,19.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,123,-1,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,47.0,0.0,0.0,21
123,worcester,26.0,42.0,harlequins,-16.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,124,-1,0.0,0.0,0.0,26.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,21
124,northampton,47.0,7.0,sale,40.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,125,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,47.0,21
125,wasps,24.0,37.0,exeter,-13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,126,-1,24.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
126,exeter,40.0,39.0,gloucester,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,127,-1,0.0,40.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
127,harlequins,22.0,19.0,northampton,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,128,-1,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,19.0,22
128,leicester,32.0,20.0,irish,12.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,129,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0,0.0,0.0,22
129,welsh,33.0,22.0,worcester,11.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,130,-1,0.0,0.0,0.0,22.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,22
130,sale,21.0,20.0,wasps,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,131,-1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,22
131,saracens,23.0,14.0,bath,9.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,132,-1,0.0,0.0,0.0,0.0,23.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,23
