London Irish 24 - 29 Harlequins
Leicester Tigers 28 - 30 Exeter Chiefs
Worcester Warriors 17 - 12 Sale Sharks
Saracens 15 - 20 Wasps
Newcastle Falcons 9 - 22 Bath Rugby
Northampton Saints 26 - 24 Gloucester Rugby
Harlequins 26 - 13 Northampton Saints
Sale Sharks 30 - 29 London Irish
Exeter Chiefs 32 - 15 Newcastle Falcons
Gloucester Rugby 29 - 8 Worcester Warriors
Bath Rugby 26 - 28 Saracens
Wasps 35 - 29 Leicester Tigers
Harlequins 42 - 6 Gloucester Rugby
Northampton Saints 13 - 14 London Irish
Wasps 18 - 29 Sale Sharks
Newcastle Falcons 26 - 27 Leicester Tigers
Bath Rugby 23 - 19 Exeter Chiefs
Saracens 18 - 6 Worcester Warriors
Sale Sharks 29 - 21 Northampton Saints
Leicester Tigers 25 - 50 Saracens
Gloucester Rugby 23 - 6 Bath Rugby
London Irish 46 - 29 Newcastle Falcons
Worcester Warriors 15 - 17 Harlequins
Exeter Chiefs 21 - 11 Wasps
Worcester Warriors 12 - 3 Northampton Saints
Gloucester Rugby 33 - 30 London Irish
Exeter Chiefs 13 - 17 Saracens
Harlequins 48 - 41 Sale Sharks
Bath Rugby 26 - 25 Leicester Tigers
Newcastle Falcons 15 - 10 Wasps
Northampton Saints 33 - 3 Exeter Chiefs
Sale Sharks 13 - 11 Gloucester Rugby
Leicester Tigers 18 - 27 Harlequins
London Irish 42 - 24 Worcester Warriors
Saracens 25 - 5 Newcastle Falcons
Wasps 27 - 24 Bath Rugby
Sale Sharks 13 - 34 Leicester Tigers
Worcester Warriors 12 - 14 Wasps
London Irish 12 - 13 Bath Rugby
Harlequins 19 - 13 Exeter Chiefs
Northampton Saints 44 - 15 Newcastle Falcons
Gloucester Rugby 17 - 19 Saracens
Newcastle Falcons 16 - 16 Worcester Warriors
Bath Rugby 13 - 26 Harlequins
Exeter Chiefs 19 - 24 Gloucester Rugby
Leicester Tigers 24 - 24 London Irish
Wasps 13 - 24 Northampton Saints
Saracens 23 - 10 Sale Sharks
Sale Sharks 23 - 30 Exeter Chiefs
Worcester Warriors 16 - 7 Bath Rugby
Gloucester Rugby 14 - 19 Leicester Tigers
London Irish 21 - 17 Wasps
Northampton Saints 30 - 8 Saracens
Harlequins 39 - 8 Newcastle Falcons
Newcastle Falcons 26 - 25 Gloucester Rugby
Bath Rugby 13 - 16 Sale Sharks
Leicester Tigers 30 - 25 Northampton Saints
Exeter Chiefs 15 - 9 Worcester Warriors
Saracens 15 - 11 London Irish
Wasps 16 - 22 Harlequins
Northampton Saints 22 - 13 Bath Rugby
Sale Sharks 27 - 19 Newcastle Falcons
Gloucester Rugby 39 - 10 Wasps
London Irish 29 - 22 Exeter Chiefs
Worcester Warriors 13 - 32 Leicester Tigers
Harlequins 11 - 19 Saracens
Newcastle Falcons 14 - 32 Northampton Saints
Exeter Chiefs 9 - 11 Harlequins
Bath Rugby 30 - 3 London Irish
Saracens 15 - 15 Gloucester Rugby
Wasps 0 - 6 Worcester Warriors
Leicester Tigers 28 - 23 Sale Sharks
Northampton Saints 24 - 3 Harlequins
Worcester Warriors 21 - 15 Gloucester Rugby
Newcastle Falcons 10 - 16 Exeter Chiefs
Leicester Tigers 29 - 11 Wasps
London Irish 21 - 19 Sale Sharks
Saracens 26 - 19 Bath Rugby
Sale Sharks 15 - 12 Worcester Warriors
Harlequins 30 - 23 London Irish
Bath Rugby 30 - 24 Newcastle Falcons
Gloucester Rugby 27 - 24 Northampton Saints
Exeter Chiefs 19 - 11 Leicester Tigers
Wasps 17 - 22 Saracens
Bath Rugby 11 - 14 Gloucester Rugby
Newcastle Falcons 19 - 10 London Irish
Northampton Saints 24 - 17 Sale Sharks
Wasps 12 - 15 Exeter Chiefs
Harlequins 16 - 14 Worcester Warriors
Saracens 19 - 20 Leicester Tigers
Sale Sharks 46 - 34 Wasps
Worcester Warriors 16 - 11 Saracens
Leicester Tigers 42 - 15 Newcastle Falcons
Exeter Chiefs 9 - 12 Bath Rugby
Gloucester Rugby 29 - 23 Harlequins
London Irish 23 - 30 Northampton Saints
Newcastle Falcons 9 - 9 Harlequins
Bath Rugby 36 - 17 Worcester Warriors
Exeter Chiefs 37 - 12 Sale Sharks
Wasps 18 - 13 London Irish
Leicester Tigers 36 - 3 Gloucester Rugby
Saracens 18 - 12 Northampton Saints
Sale Sharks 9 - 45 Saracens
Worcester Warriors 19 - 9 Newcastle Falcons
Harlequins 14 - 6 Bath Rugby
Gloucester Rugby 27 - 28 Exeter Chiefs
Northampton Saints 32 - 15 Wasps
London Irish 32 - 41 Leicester Tigers
Leicester Tigers 43 - 13 Worcester Warriors
Newcastle Falcons 22 - 19 Sale Sharks
Exeter Chiefs 18 - 11 London Irish
Saracens 19 - 24 Harlequins
Bath Rugby 6 - 26 Northampton Saints
Wasps 26 - 24 Gloucester Rugby
Sale Sharks 16 - 9 Bath Rugby
Northampton Saints 21 - 35 Leicester Tigers
Gloucester Rugby 20 - 29 Newcastle Falcons
London Irish 19 - 28 Saracens
Worcester Warriors 26 - 31 Exeter Chiefs
Harlequins 33 - 17 Wasps
Newcastle Falcons 3 - 9 Saracens
Bath Rugby 17 - 12 Wasps
Gloucester Rugby 19 - 24 Sale Sharks
Worcester Warriors 16 - 25 London Irish
Harlequins 33 - 43 Leicester Tigers
Exeter Chiefs 15 - 18 Northampton Saints
Leicester Tigers 28 - 3 Bath Rugby
London Irish 52 - 18 Gloucester Rugby
Northampton Saints 42 - 14 Worcester Warriors
Sale Sharks 10 - 24 Harlequins
Saracens 40 - 22 Exeter Chiefs
Wasps 10 - 14 Newcastle Falcons
