1011,1112,1213,1314,1415,bath,bath_home,bath_opp,exeter,exeter_home,exeter_opp,game,gloucester,gloucester_home,gloucester_opp,harlequins,harlequins_home,harlequins_opp,irish,irish_home,irish_opp,leicester,leicester_home,leicester_opp,newcastle,newcastle_home,newcastle_opp,northampton,northampton_home,northampton_opp,opponent,points,points_against,points_diff,round,sale,sale_home,sale_opp,saracens,saracens_home,saracens_opp,team,wasps,wasps_home,wasps_opp,welsh,welsh_home,welsh_opp,win,worcester,worcester_home,worcester_opp,yorkshire,yorkshire_home,yorkshire_opp
1,0,0,0,0,1,1,0,0,0,0,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gloucester,3,18,-15,5,0,0,0,0,0,0,bath,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,newcastle,23,12,11,5,0,0,0,0,0,0,harlequins,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,yorkshire,40,24,16,5,0,0,0,0,0,0,irish,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,exeter,27,21,6,5,0,0,0,0,0,0,northampton,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,leicester,26,20,6,5,0,0,0,1,1,0,saracens,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sale,3,6,-3,6,1,0,1,0,0,0,yorkshire,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,saracens,13,15,-2,6,0,0,0,1,0,1,newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,bath,21,15,6,6,0,0,0,0,0,0,leicester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,34,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,harlequins,33,26,7,6,0,0,0,0,0,0,gloucester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,35,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,irish,9,12,-3,6,0,0,0,0,0,0,exeter,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,northampton,10,37,-27,6,0,0,0,0,0,0,wasps,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,newcastle,34,13,21,7,0,0,0,0,0,0,northampton,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,exeter,9,23,-14,7,0,0,0,1,1,0,saracens,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,39,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,leicester,19,12,7,7,0,0,0,0,0,0,gloucester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,40,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,bath,6,6,0,7,0,0,0,0,0,0,harlequins,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,sale,39,26,13,7,1,0,1,0,0,0,irish,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wasps,8,17,-9,7,0,0,0,0,0,0,yorkshire,1,0,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,harlequins,18,13,5,8,0,0,0,0,0,0,leicester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,northampton,10,19,-9,8,1,1,0,0,0,0,sale,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yorkshire,15,9,6,8,0,0,0,0,0,0,exeter,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,irish,33,25,8,8,0,0,0,0,0,0,wasps,1,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,47,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,gloucester,12,6,6,8,0,0,0,0,0,0,newcastle,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,saracens,13,17,-4,8,0,0,0,1,0,1,bath,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,irish,35,23,12,9,0,0,0,0,0,0,northampton,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sale,24,19,5,9,1,0,1,0,0,0,exeter,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,newcastle,44,19,25,9,0,0,0,0,0,0,leicester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,saracens,19,13,6,9,0,0,0,1,0,1,gloucester,0,0,0,0,0,0,1,0,0,0,0,0,0
