season,round,game,home,team,points,points_against,opponent,points_diff,win,draw,avgPD,avgPD_opp
14_15,7,40,0,irsh,8,36,sale,-28,0,0,-6.379310345,0.020408163
14_15,7,41,0,welsh,7,71,wasps,-64,0,0,-1.982142857,-1.976331361
14_15,7,41,1,wasps,71,7,welsh,64,1,0,-1.976331361,-1.982142857
14_15,7,42,0,saracens,21,21,leicester,0,0,1,-1.363636364,-1.285714286
14_15,7,42,1,leicester,21,21,saracens,0,0,1,-2.872727273,-1.363636364
14_15,8,43,1,newcastle,20,10,gloucester,10,1,0,1.32278481,-1.75
14_15,8,43,0,gloucester,10,20,newcastle,-10,0,0,-1.75,0.924528302
14_15,8,44,0,sale,16,12,harlequins,4,1,0,-2.255681818,-0.625
14_15,8,44,1,harlequins,12,16,sale,-4,0,0,-0.625,-2.255681818
14_15,8,45,1,irish,23,33,bath,-10,0,0,1.539393939,12
14_15,8,45,0,bath,33,23,irish,10,1,0,12,-2.731707317
14_15,8,46,0,wasps,15,31,exeter,-16,0,0,-1.813084112,13.875
14_15,8,46,1,exeter,31,15,wasps,16,1,0,13.875,-1.813084112
14_15,8,47,1,welsh,5,26,leicester,-21,0,0,-1.5234375,-5.823529412
14_15,8,47,0,leicester,26,5,welsh,21,1,0,-1.285714286,-1.5234375
14_15,8,48,1,saracens,24,31,northampton,-7,0,0,-1.276119403,3
14_15,8,48,0,northampton,31,24,saracens,7,1,0,3,-1.276119403
14_15,9,49,0,harlequins,6,25,bath,-19,0,0,0.790697674,12.77777778
14_15,9,49,1,bath,25,6,harlequins,19,1,0,12.77777778,0.790697674
14_15,9,50,0,saracens,19,27,exeter,-8,0,0,-1.49537037,13.22222222
14_15,9,50,1,exeter,27,19,saracens,8,1,0,13.22222222,-1.49537037
14_15,9,51,0,wasps,16,18,leicester,-2,0,0,-1.569230769,-1.7
14_15,9,51,1,leicester,18,16,wasps,2,1,0,-5.823529412,-1.569230769
14_15,9,52,0,sale,18,13,necastle,5,1,0,4.569892473,1.7239819
14_15,9,52,1,newcastle,13,18,sale,-5,0,0,0.924528302,4.569892473
14_15,9,53,1,welsh,14,43,northampton,-29,0,0,-3.523255814,2.741573034
14_15,9,53,0,northampton,43,14,welsh,29,1,0,2.741573034,-3.523255814
14_15,9,54,1,irish,9,21,gloucester,-12,0,0,-2.731707317,-0.222222222
14_15,9,54,0,gloucester,21,9,irish,12,1,0,-0.222222222,-9.444444444
14_15,10,55,1,sale,18,11,exeter,7,1,0,-1.437788018,11.2
14_15,10,55,0,exeter,11,18,sale,-7,0,0,11.2,-1.437788018
14_15,10,56,1,gloucester,16,39,bath,-23,0,0,2.711111111,13.8
14_15,10,56,0,bath,39,16,gloucester,23,1,0,13.8,2.711111111
14_15,10,57,1,northampton,23,19,leicester,4,1,0,2.885714286,-1.363636364
14_15,10,57,0,leicester,19,23,northampton,-4,0,0,-1.7,2.885714286
14_15,10,58,0,welsh,7,78,saracens,-71,0,0,-1.610619469,-1.308270677
14_15,10,58,1,saracens,78,7,welsh,71,1,0,-1.308270677,-1.610619469
14_15,10,59,0,newcastle,7,15,harlequins,-8,0,0,0.224137931,-1.6
14_15,10,59,1,harlequins,15,7,newcastle,8,1,0,-1.6,0.224137931
14_15,10,60,1,wasps,48,16,irish,32,1,0,-1.813333333,-7
14_15,10,60,0,irish,16,48,wasps,-32,0,0,-9.444444444,-1.813333333
14_15,11,61,0,welsh,9,24,irish,-15,0,0,-1.657718121,-7.818181818
14_15,11,61,1,irish,24,9,welsh,15,1,0,-7,-1.657718121
14_15,11,62,0,northampton,30,25,harlequins,5,1,0,2.363057325,-1.909090909
14_15,11,62,1,harlequins,25,30,northampton,-5,0,0,-1.909090909,2.363057325
14_15,11,63,0,saracens,25,23,newcastle,2,1,0,-0.411214953,-4.727272727
14_15,11,63,1,newcastle,23,25,saracens,-2,0,0,-4.727272727,-0.411214953
14_15,11,64,1,sale,30,32,leicester,-2,0,0,5.081081081,2.466019417
14_15,11,64,0,leicester,32,30,sale,2,1,0,-1.363636364,5.081081081
14_15,11,65,0,exeter,14,31,bath,-17,0,0,6.735849057,14.09090909
14_15,11,65,1,bath,31,14,exeter,17,1,0,14.09090909,6.735849057
14_15,11,66,0,wasps,30,23,gloucester,7,1,0,-1.984455959,-2.909090909
14_15,11,66,1,gloucester,23,30,wasps,-7,0,0,-2.909090909,-1.984455959
14_15,12,67,1,northampton,39,31,newcastle,8,1,0,4.5,-5
14_15,12,67,0,newcastle,31,39,northampton,-8,0,0,-5,4.5
14_15,12,68,0,gloucester,26,25,exeter,1,1,0,2.520833333,7.833333333
14_15,12,68,1,exeter,25,26,gloucester,-1,0,0,7.833333333,2.520833333
14_15,12,69,1,saracens,22,6,irish,16,1,0,-1.78807947,-0.637096774
14_15,12,69,0,irish,6,22,saracens,-16,0,0,-7.818181818,-1.78807947
14_15,12,70,1,welsh,13,24,harlequins,-11,0,0,-1.976331361,-0.833333333
14_15,12,70,0,harlequins,24,13,welsh,11,1,0,-0.833333333,-1.976331361
14_15,12,71,1,wasps,41,16,sale,25,1,0,-3.318181818,6.390625
14_15,12,71,0,sale,16,41,wasps,-25,0,0,6.390625,-3.318181818
14_15,12,72,1,leicester,17,8,bath,9,1,0,2.466019417,12.16666667
14_15,12,72,0,bath,8,17,leicester,-9,0,0,12.16666667,-2.063291139
14_15,13,73,0,saracens,23,24,gloucester,-1,0,0,-1.974226804,-2.307692308
14_15,13,73,1,gloucester,24,23,saracens,1,1,0,-2.307692308,-1.974226804
14_15,13,74,0,leicester,12,32,harlequins,-20,0,0,-2.063291139,0.769230769
14_15,13,74,1,harlequins,32,12,leciester,20,1,0,0.769230769,2.366834171
14_15,13,75,0,wasps,26,39,bath,-13,0,0,-0.662393162,12.23076923
14_15,13,75,1,bath,39,26,wasps,13,1,0,12.23076923,-0.662393162
14_15,13,76,1,sale,20,7,northampton,13,1,0,4.939393939,11.46153846
14_15,13,76,0,northampton,7,20,sale,-13,0,0,11.46153846,4.939393939
14_15,13,77,1,irish,28,26,exeter,2,1,0,-0.637096774,7.076923077
14_15,13,77,0,exeter,26,28,irish,-2,0,0,7.076923077,-6.923076923
14_15,13,78,0,welsh,7,28,newcastle,-21,0,0,-1.235849057,-3
14_15,13,78,1,newcastle,28,7,welsh,21,1,0,-3,-1.235849057
14_15,14,79,1,northampton,15,9,irish,6,1,0,3.00877193,-6.857142857
14_15,14,79,0,irish,9,15,northampton,-6,0,0,-6.923076923,3.00877193
14_15,14,80,1,leicester,18,15,gloucester,3,1,0,-0.338709677,-2.357142857
14_15,14,80,0,gloucester,15,18,leicester,-3,0,0,-2.357142857,-0.338709677
14_15,14,81,0,newcastle,17,46,exeter,-29,0,0,1.653465347,8.642857143
14_15,14,81,1,exeter,46,17,newcastle,29,1,0,8.642857143,1.653465347
14_15,14,82,1,wasps,37,6,harlequins,31,1,0,-1.923976608,-1.5
14_15,14,82,0,harlequins,6,37,wasps,-31,0,0,-1.5,-1.923976608
14_15,14,83,1,saracens,34,24,bath,10,1,0,-0.555084746,10.64285714
14_15,14,83,0,bath,24,34,saracens,-10,0,0,10.64285714,-0.555084746
14_15,14,84,1,welsh,12,52,sale,-40,0,0,-6.109375,3.2
14_15,14,84,0,sale,52,12,welsh,40,1,0,3.2,-6.109375
14_15,15,85,0,wasps,23,23,newcastle,0,0,1,-1.324074074,-4.533333333
14_15,15,85,1,newcastle,23,23,wasps,0,0,1,-4.533333333,-1.324074074
14_15,15,86,0,northampton,21,13,bath,8,1,0,-0.608333333,9.4
14_15,15,86,1,bath,13,21,northampton,-8,0,0,9.4,-0.608333333
14_15,15,87,1,harlequins,21,32,exeter,-11,0,0,-0.898876404,8.8
14_15,15,87,0,exeter,32,21,harlequins,11,1,0,8.8,-0.898876404
14_15,15,88,0,welsh,10,48,gloucester,-38,0,0,-1.921052632,0.333333333
